x;y;datetime;id;behavior;random-seed;travel_speed_val;month;mm_yyyy;dd_mm_yyyy
781969.8024;7407899.62;19/05/2016 07:25;Guareí;NA;Empirical;Empirical;May;May/2016;19/May/2016
781962.5062;7407894.688;19/05/2016 07:30;Guareí;travel;Empirical;Empirical;May;May/2016;19/May/2016
781925.3844;7407924.746;19/05/2016 07:35;Guareí;frugivory;Empirical;Empirical;May;May/2016;19/May/2016
781898.1291;7407922.49;19/05/2016 07:40;Guareí;frugivory;Empirical;Empirical;May;May/2016;19/May/2016
781898.1291;7407922.49;19/05/2016 07:45;Guareí;frugivory;Empirical;Empirical;May;May/2016;19/May/2016
781897.1885;7407900.23;19/05/2016 07:50;Guareí;frugivory;Empirical;Empirical;May;May/2016;19/May/2016
781897.1885;7407900.23;19/05/2016 07:55;Guareí;frugivory;Empirical;Empirical;May;May/2016;19/May/2016
781897.1885;7407900.23;19/05/2016 08:00;Guareí;frugivory;Empirical;Empirical;May;May/2016;19/May/2016
781897.1885;7407900.23;19/05/2016 08:05;Guareí;frugivory;Empirical;Empirical;May;May/2016;19/May/2016
781897.1885;7407900.23;19/05/2016 08:10;Guareí;frugivory;Empirical;Empirical;May;May/2016;19/May/2016
781897.1885;7407900.23;19/05/2016 08:15;Guareí;frugivory;Empirical;Empirical;May;May/2016;19/May/2016
781897.1885;7407900.23;19/05/2016 08:20;Guareí;frugivory;Empirical;Empirical;May;May/2016;19/May/2016
781885.459;7407917.642;19/05/2016 08:25;Guareí;frugivory;Empirical;Empirical;May;May/2016;19/May/2016
781885.459;7407917.642;19/05/2016 08:30;Guareí;frugivory;Empirical;Empirical;May;May/2016;19/May/2016
781885.459;7407917.642;19/05/2016 08:35;Guareí;frugivory;Empirical;Empirical;May;May/2016;19/May/2016
781885.459;7407917.642;19/05/2016 08:40;Guareí;frugivory;Empirical;Empirical;May;May/2016;19/May/2016
781876.8813;7407912.046;19/05/2016 08:45;Guareí;travel;Empirical;Empirical;May;May/2016;19/May/2016
781882.9706;7407900.066;19/05/2016 08:50;Guareí;frugivory;Empirical;Empirical;May;May/2016;19/May/2016
781882.9706;7407900.066;19/05/2016 08:55;Guareí;frugivory;Empirical;Empirical;May;May/2016;19/May/2016
781882.9706;7407900.066;19/05/2016 09:00;Guareí;frugivory;Empirical;Empirical;May;May/2016;19/May/2016
781882.9706;7407900.066;19/05/2016 09:05;Guareí;frugivory;Empirical;Empirical;May;May/2016;19/May/2016
781882.9706;7407900.066;19/05/2016 09:10;Guareí;frugivory;Empirical;Empirical;May;May/2016;19/May/2016
781882.9706;7407900.066;19/05/2016 09:15;Guareí;frugivory;Empirical;Empirical;May;May/2016;19/May/2016
781882.9706;7407900.066;19/05/2016 09:20;Guareí;frugivory;Empirical;Empirical;May;May/2016;19/May/2016
781882.9706;7407900.066;19/05/2016 09:25;Guareí;frugivory;Empirical;Empirical;May;May/2016;19/May/2016
781882.9706;7407900.066;19/05/2016 09:30;Guareí;frugivory;Empirical;Empirical;May;May/2016;19/May/2016
781882.9706;7407900.066;19/05/2016 09:35;Guareí;frugivory;Empirical;Empirical;May;May/2016;19/May/2016
781882.9706;7407900.066;19/05/2016 09:40;Guareí;frugivory;Empirical;Empirical;May;May/2016;19/May/2016
781876.2281;7407901.663;19/05/2016 09:45;Guareí;idle;Empirical;Empirical;May;May/2016;19/May/2016
781872.4821;7407900.35;19/05/2016 09:50;Guareí;travel;Empirical;Empirical;May;May/2016;19/May/2016
781850.7822;7407883.301;19/05/2016 09:55;Guareí;frugivory;Empirical;Empirical;May;May/2016;19/May/2016
781859.0451;7407904.249;19/05/2016 10:00;Guareí;foraging;Empirical;Empirical;May;May/2016;19/May/2016
781848.4449;7407895.562;19/05/2016 10:05;Guareí;travel;Empirical;Empirical;May;May/2016;19/May/2016
781867.1676;7407897.266;19/05/2016 10:10;Guareí;frugivory;Empirical;Empirical;May;May/2016;19/May/2016
781867.1676;7407897.266;19/05/2016 10:15;Guareí;frugivory;Empirical;Empirical;May;May/2016;19/May/2016
781867.1676;7407897.266;19/05/2016 10:20;Guareí;frugivory;Empirical;Empirical;May;May/2016;19/May/2016
781861.2924;7407891.321;19/05/2016 10:25;Guareí;travel;Empirical;Empirical;May;May/2016;19/May/2016
781862.9145;7407900.366;19/05/2016 10:30;Guareí;travel;Empirical;Empirical;May;May/2016;19/May/2016
781869.9917;7407916.256;19/05/2016 10:35;Guareí;travel;Empirical;Empirical;May;May/2016;19/May/2016
781863.5356;7407921.164;19/05/2016 10:40;Guareí;frugivory;Empirical;Empirical;May;May/2016;19/May/2016
781865.7265;7407928.573;19/05/2016 10:45;Guareí;travel;Empirical;Empirical;May;May/2016;19/May/2016
781867.4461;7407947.194;19/05/2016 10:50;Guareí;travel;Empirical;Empirical;May;May/2016;19/May/2016
781880.1293;7407978.25;19/05/2016 10:55;Guareí;travel;Empirical;Empirical;May;May/2016;19/May/2016
781883.9827;7407995.474;19/05/2016 11:00;Guareí;frugivory;Empirical;Empirical;May;May/2016;19/May/2016
781883.9827;7407995.474;19/05/2016 11:05;Guareí;frugivory;Empirical;Empirical;May;May/2016;19/May/2016
781883.9827;7407995.474;19/05/2016 11:10;Guareí;frugivory;Empirical;Empirical;May;May/2016;19/May/2016
781883.9827;7407995.474;19/05/2016 11:15;Guareí;frugivory;Empirical;Empirical;May;May/2016;19/May/2016
781883.9827;7407995.474;19/05/2016 11:20;Guareí;frugivory;Empirical;Empirical;May;May/2016;19/May/2016
781899.0136;7408006.752;19/05/2016 11:25;Guareí;travel;Empirical;Empirical;May;May/2016;19/May/2016
781887.4152;7408010.412;19/05/2016 11:30;Guareí;outofsight;Empirical;Empirical;May;May/2016;19/May/2016
781880.4547;7408020.327;19/05/2016 11:35;Guareí;foraging;Empirical;Empirical;May;May/2016;19/May/2016
781876.5631;7408026.635;19/05/2016 11:40;Guareí;travel;Empirical;Empirical;May;May/2016;19/May/2016
781861.3488;7408041.159;19/05/2016 11:45;Guareí;travel;Empirical;Empirical;May;May/2016;19/May/2016
781863.6635;7408045.184;19/05/2016 11:50;Guareí;travel;Empirical;Empirical;May;May/2016;19/May/2016
781860.8138;7408050.385;19/05/2016 11:55;Guareí;foraging;Empirical;Empirical;May;May/2016;19/May/2016
781860.89;7408055.261;19/05/2016 12:00;Guareí;outofsight;Empirical;Empirical;May;May/2016;19/May/2016
781860.5396;7408062.932;19/05/2016 12:05;Guareí;outofsight;Empirical;Empirical;May;May/2016;19/May/2016
781852.8585;7408048.196;19/05/2016 12:10;Guareí;travel;Empirical;Empirical;May;May/2016;19/May/2016
781842.4572;7408033.327;19/05/2016 12:15;Guareí;foraging;Empirical;Empirical;May;May/2016;19/May/2016
781836.5519;7408029.845;19/05/2016 12:20;Guareí;travel;Empirical;Empirical;May;May/2016;19/May/2016
781840.0883;7408058.725;19/05/2016 12:25;Guareí;travel;Empirical;Empirical;May;May/2016;19/May/2016
781836.429;7408100.015;19/05/2016 12:30;Guareí;foraging;Empirical;Empirical;May;May/2016;19/May/2016
781822.2304;7408108.034;19/05/2016 12:35;Guareí;travel;Empirical;Empirical;May;May/2016;19/May/2016
781821.4512;7408116.596;19/05/2016 12:40;Guareí;frugivory;Empirical;Empirical;May;May/2016;19/May/2016
781821.4512;7408116.596;19/05/2016 12:45;Guareí;frugivory;Empirical;Empirical;May;May/2016;19/May/2016
781821.4512;7408116.596;19/05/2016 12:50;Guareí;frugivory;Empirical;Empirical;May;May/2016;19/May/2016
781812.3539;7408134.477;19/05/2016 12:55;Guareí;foraging;Empirical;Empirical;May;May/2016;19/May/2016
781817.9518;7408140.269;19/05/2016 13:00;Guareí;foraging;Empirical;Empirical;May;May/2016;19/May/2016
781809.8473;7408145.515;19/05/2016 13:05;Guareí;foraging;Empirical;Empirical;May;May/2016;19/May/2016
781807.5684;7408145.15;19/05/2016 13:10;Guareí;outofsight;Empirical;Empirical;May;May/2016;19/May/2016
781803.4905;7408144.42;19/05/2016 13:15;Guareí;foraging;Empirical;Empirical;May;May/2016;19/May/2016
781792.1787;7408137.529;19/05/2016 13:20;Guareí;travel;Empirical;Empirical;May;May/2016;19/May/2016
781782.8365;7408136.788;19/05/2016 13:25;Guareí;foraging;Empirical;Empirical;May;May/2016;19/May/2016
781767.4136;7408123.845;19/05/2016 13:30;Guareí;foraging;Empirical;Empirical;May;May/2016;19/May/2016
781755.7874;7408126.957;19/05/2016 13:35;Guareí;foraging;Empirical;Empirical;May;May/2016;19/May/2016
781753.1288;7408104.963;19/05/2016 13:40;Guareí;foraging;Empirical;Empirical;May;May/2016;19/May/2016
781748.7803;7408114.726;19/05/2016 13:45;Guareí;foraging;Empirical;Empirical;May;May/2016;19/May/2016
781737.4911;7408128.282;19/05/2016 13:50;Guareí;frugivory;Empirical;Empirical;May;May/2016;19/May/2016
781737.4911;7408128.282;19/05/2016 13:55;Guareí;frugivory;Empirical;Empirical;May;May/2016;19/May/2016
781743.8476;7408136.531;19/05/2016 14:00;Guareí;travel;Empirical;Empirical;May;May/2016;19/May/2016
781725.1045;7408155.284;19/05/2016 14:05;Guareí;foraging;Empirical;Empirical;May;May/2016;19/May/2016
781732.0378;7408179.789;19/05/2016 14:10;Guareí;travel;Empirical;Empirical;May;May/2016;19/May/2016
781717.2611;7408184.038;19/05/2016 14:15;Guareí;travel;Empirical;Empirical;May;May/2016;19/May/2016
781720.6411;7408184.141;19/05/2016 14:20;Guareí;long_call;Empirical;Empirical;May;May/2016;19/May/2016
781702.4318;7408211.532;19/05/2016 14:25;Guareí;travel;Empirical;Empirical;May;May/2016;19/May/2016
781688.3398;7408217.961;19/05/2016 14:30;Guareí;travel;Empirical;Empirical;May;May/2016;19/May/2016
781697;7408200;19/05/2016 14:35;Guareí;rubbing;Empirical;Empirical;May;May/2016;19/May/2016
781697;7408200;19/05/2016 14:40;Guareí;rubbing;Empirical;Empirical;May;May/2016;19/May/2016
781697;7408200;19/05/2016 14:45;Guareí;rubbing;Empirical;Empirical;May;May/2016;19/May/2016
781695.4043;7408205.405;19/05/2016 14:50;Guareí;travel;Empirical;Empirical;May;May/2016;19/May/2016
781704.7141;7408212.966;19/05/2016 14:55;Guareí;foraging;Empirical;Empirical;May;May/2016;19/May/2016
781707.7143;7408206.665;19/05/2016 15:00;Guareí;travel;Empirical;Empirical;May;May/2016;19/May/2016
781730.1383;7408198.359;19/05/2016 15:05;Guareí;frugivory;Empirical;Empirical;May;May/2016;19/May/2016
781730.1383;7408198.359;19/05/2016 15:10;Guareí;frugivory;Empirical;Empirical;May;May/2016;19/May/2016
781730.1383;7408198.359;19/05/2016 15:15;Guareí;frugivory;Empirical;Empirical;May;May/2016;19/May/2016
781730.1383;7408198.359;19/05/2016 15:20;Guareí;frugivory;Empirical;Empirical;May;May/2016;19/May/2016
781730.1383;7408198.359;19/05/2016 15:25;Guareí;frugivory;Empirical;Empirical;May;May/2016;19/May/2016
781761.9863;7408181.631;19/05/2016 15:30;Guareí;travel;Empirical;Empirical;May;May/2016;19/May/2016
781800.0205;7408177.243;19/05/2016 15:35;Guareí;travel;Empirical;Empirical;May;May/2016;19/May/2016
781817.254;7408170.103;19/05/2016 15:40;Guareí;travel;Empirical;Empirical;May;May/2016;19/May/2016
781830.7695;7408159.988;19/05/2016 15:45;Guareí;travel;Empirical;Empirical;May;May/2016;19/May/2016
781847.8043;7408162.18;19/05/2016 15:50;Guareí;travel;Empirical;Empirical;May;May/2016;19/May/2016
781854.9599;7408149.91;19/05/2016 15:55;Guareí;foraging;Empirical;Empirical;May;May/2016;19/May/2016
781852.1903;7408135.563;19/05/2016 16:00;Guareí;idle;Empirical;Empirical;May;May/2016;19/May/2016
781860.8523;7408123.608;19/05/2016 16:05;Guareí;travel;Empirical;Empirical;May;May/2016;19/May/2016
781876.0736;7408100.937;19/05/2016 16:10;Guareí;travel;Empirical;Empirical;May;May/2016;19/May/2016
781920.148;7408080.222;19/05/2016 16:15;Guareí;outofsight;Empirical;Empirical;May;May/2016;19/May/2016
781975.8272;7408039.172;19/05/2016 16:20;Guareí;travel;Empirical;Empirical;May;May/2016;19/May/2016
782014.9065;7408050.872;19/05/2016 16:25;Guareí;travel;Empirical;Empirical;May;May/2016;19/May/2016
782035.155;7408024.797;19/05/2016 16:30;Guareí;foraging;Empirical;Empirical;May;May/2016;19/May/2016
782050.3804;7408005.043;19/05/2016 16:35;Guareí;travel;Empirical;Empirical;May;May/2016;19/May/2016
782007.7942;7407942.742;19/05/2016 16:40;Guareí;travel;Empirical;Empirical;May;May/2016;19/May/2016
781994.1559;7407906.595;19/05/2016 16:45;Guareí;travel;Empirical;Empirical;May;May/2016;19/May/2016
782010.6379;7407883.519;19/05/2016 16:50;Guareí;travel;Empirical;Empirical;May;May/2016;19/May/2016
781974.8941;7407887.037;19/05/2016 16:55;Guareí;travel;Empirical;Empirical;May;May/2016;19/May/2016
781969.8024;7407899.62;19/05/2016 17:00;Guareí;sleeping;Empirical;Empirical;May;May/2016;19/May/2016
781969.8024;7407899.62;19/05/2017 07:25;Guareí;NA;Empirical;Empirical;May;May/2017;19/May/2017
781969.8024;7407899.62;19/05/2017 07:30;Guareí;travel;Empirical;Empirical;May;May/2017;19/May/2017
781962.9535;7407884.469;19/05/2017 07:35;Guareí;outofsight;Empirical;Empirical;May;May/2017;19/May/2017
781959.894;7407816.488;19/05/2017 07:40;Guareí;outofsight;Empirical;Empirical;May;May/2017;19/May/2017
781972.3998;7407731.736;19/05/2017 07:45;Guareí;outofsight;Empirical;Empirical;May;May/2017;19/May/2017
781982.3945;7407708.366;19/05/2017 07:50;Guareí;outofsight;Empirical;Empirical;May;May/2017;19/May/2017
782033.796;7407730.077;19/05/2017 07:55;Guareí;outofsight;Empirical;Empirical;May;May/2017;19/May/2017
782014.9814;7407684.182;19/05/2017 08:00;Guareí;frugivory;Empirical;Empirical;May;May/2017;19/May/2017
782014.9814;7407684.182;19/05/2017 08:05;Guareí;frugivory;Empirical;Empirical;May;May/2017;19/May/2017
782014.9814;7407684.182;19/05/2017 08:10;Guareí;frugivory;Empirical;Empirical;May;May/2017;19/May/2017
782025.7759;7407663.63;19/05/2017 08:15;Guareí;travel;Empirical;Empirical;May;May/2017;19/May/2017
782007.0489;7407639.761;19/05/2017 08:20;Guareí;travel;Empirical;Empirical;May;May/2017;19/May/2017
782034.6203;7407617.819;19/05/2017 08:25;Guareí;foraging;Empirical;Empirical;May;May/2017;19/May/2017
782039.1926;7407602.301;19/05/2017 08:30;Guareí;travel;Empirical;Empirical;May;May/2017;19/May/2017
782033.3621;7407565.122;19/05/2017 08:35;Guareí;foraging;Empirical;Empirical;May;May/2017;19/May/2017
782066.7541;7407558.369;19/05/2017 08:40;Guareí;foraging;Empirical;Empirical;May;May/2017;19/May/2017
782107.2132;7407552.652;19/05/2017 08:45;Guareí;travel;Empirical;Empirical;May;May/2017;19/May/2017
782114.5616;7407549.129;19/05/2017 08:50;Guareí;travel;Empirical;Empirical;May;May/2017;19/May/2017
782155.988;7407536.184;19/05/2017 08:55;Guareí;travel;Empirical;Empirical;May;May/2017;19/May/2017
782171.5155;7407527.757;19/05/2017 09:00;Guareí;travel;Empirical;Empirical;May;May/2017;19/May/2017
782188.2189;7407522.086;19/05/2017 09:05;Guareí;travel;Empirical;Empirical;May;May/2017;19/May/2017
782229.8085;7407522.125;19/05/2017 09:10;Guareí;foraging;Empirical;Empirical;May;May/2017;19/May/2017
782225.0765;7407522.597;19/05/2017 09:15;Guareí;idle;Empirical;Empirical;May;May/2017;19/May/2017
782212.0684;7407545.272;19/05/2017 09:20;Guareí;travel;Empirical;Empirical;May;May/2017;19/May/2017
782227.0428;7407555.845;19/05/2017 09:25;Guareí;foraging;Empirical;Empirical;May;May/2017;19/May/2017
782248.6853;7407566.764;19/05/2017 09:30;Guareí;travel;Empirical;Empirical;May;May/2017;19/May/2017
782233.4632;7407566.972;19/05/2017 09:35;Guareí;travel;Empirical;Empirical;May;May/2017;19/May/2017
782228.6145;7407572.537;19/05/2017 09:40;Guareí;travel;Empirical;Empirical;May;May/2017;19/May/2017
782263.9302;7407551.199;19/05/2017 09:45;Guareí;foraging;Empirical;Empirical;May;May/2017;19/May/2017
