"id","date","id_day_all","month","behavior","species","id_tree","group","feedingbout_id","feedingbout_dur","richness","feedingbout_dur_timestep"
"Santa Maria","2015-03-15","Mar_7","Mar","Frugivory",NA,"SMaf001","Santa Maria","fb_0",5,6,1
"Santa Maria","2015-03-15","Mar_7","Mar","Frugivory",NA,"SMaf002","Santa Maria","fb_1",35,6,7
"Santa Maria","2015-03-15","Mar_7","Mar","Frugivory","Myrcia splendens","AMf007","Santa Maria","fb_2",25,6,5
"Santa Maria","2015-03-18","Mar_10","Mar","Frugivory",NA,"AMf100","Santa Maria","fb_3",15,6,3
"Santa Maria","2015-03-18","Mar_10","Mar","Frugivory","Myrcia splendens","AMf007","Santa Maria","fb_3",35,6,7
"Santa Maria","2015-03-18","Mar_10","Mar","Frugivory",NA,"SMaf009","Santa Maria","fb_4",5,6,1
"Santa Maria","2015-03-18","Mar_10","Mar","Frugivory",NA,"SMaf010","Santa Maria","fb_4",35,6,7
"Santa Maria","2015-03-18","Mar_10","Mar","Frugivory",NA,"SMaf011","Santa Maria","fb_5",15,6,3
"Santa Maria","2015-03-18","Mar_10","Mar","Frugivory","Celtis fluminensis","AMf132","Santa Maria","fb_6",25,6,5
"Santa Maria","2015-03-18","Mar_10","Mar","Frugivory",NA,"SMaf017","Santa Maria","fb_7",5,6,1
"Santa Maria","2015-03-18","Mar_10","Mar","Frugivory",NA,"SMaf018","Santa Maria","fb_7",15,6,3
"Santa Maria","2015-03-18","Mar_10","Mar","Frugivory",NA,"SMaf019","Santa Maria","fb_8",5,6,1
"Santa Maria","2015-03-18","Mar_10","Mar","Frugivory","Celtis fluminensis","AMf030","Santa Maria","fb_8",20,6,4
"Santa Maria","2015-03-18","Mar_10","Mar","Frugivory",NA,"SMaf022","Santa Maria","fb_8",5,6,1
"Santa Maria","2015-03-18","Mar_10","Mar","Frugivory",NA,"SMaf023","Santa Maria","fb_8",10,6,2
"Santa Maria","2015-03-18","Mar_10","Mar","Frugivory",NA,"SMaf024","Santa Maria","fb_8",5,6,1
"Santa Maria","2015-03-18","Mar_10","Mar","Frugivory",NA,"SMaf025","Santa Maria","fb_8",5,6,1
"Santa Maria","2015-03-18","Mar_10","Mar","Frugivory","Celtis fluminensis","AMf022","Santa Maria","fb_8",5,6,1
"Santa Maria","2015-03-18","Mar_10","Mar","Frugivory","Celtis fluminensis","AMf236","Santa Maria","fb_8",20,6,4
"Santa Maria","2015-03-18","Mar_10","Mar","Frugivory",NA,"SMaf030","Santa Maria","fb_9",5,6,1
"Santa Maria","2015-03-18","Mar_10","Mar","Frugivory","Celtis fluminensis","Amf217","Santa Maria","fb_10",10,6,2
"Santa Maria","2015-03-20","Mar_12","Mar","Frugivory",NA,"AMf017","Santa Maria","fb_11",10,6,2
"Santa Maria","2015-03-20","Mar_12","Mar","Frugivory","Myrcia splendens","AMf007","Santa Maria","fb_11",20,6,4
"Santa Maria","2015-03-20","Mar_12","Mar","Frugivory",NA,"SMaf035","Santa Maria","fb_11",5,6,1
"Santa Maria","2015-03-20","Mar_12","Mar","Frugivory",NA,"SMaf010","Santa Maria","fb_12",20,6,4
"Santa Maria","2015-03-20","Mar_12","Mar","Frugivory",NA,"SMaf010","Santa Maria","fb_13",35,6,7
"Santa Maria","2015-03-20","Mar_12","Mar","Frugivory",NA,"SMaf010","Santa Maria","fb_14",5,6,1
"Santa Maria","2015-03-20","Mar_12","Mar","Frugivory",NA,"SMaf010","Santa Maria","fb_15",10,6,2
