"id_day","x","y","id_month","datetime","behavior","species","id","group"
"aug001",781724.299442157,7407588.55161796,"Aug",2019-08-11 07:25:00,"Sleeping site",NA,"DG22","Guareí"
"aug001",781822.229567396,7407655.17266872,"Aug",2019-08-11 07:45:00,"Frugivory","Pereskia aculeata","AG306","Guareí"
"aug001",781828.217365046,7407668.7980168,"Aug",2019-08-11 07:50:00,"Frugivory","Pereskia aculeata","AG307","Guareí"
"aug001",781821.626526603,7407693.08759371,"Aug",2019-08-11 08:10:00,"Frugivory","Pereskia aculeata","AG308","Guareí"
"aug001",781757.481382342,7407724.46156761,"Aug",2019-08-11 08:35:00,"Frugivory","Pereskia aculeata","AG309","Guareí"
"aug001",781719.080221152,7407748.58876782,"Aug",2019-08-11 08:50:00,"Frugivory","Pereskia aculeata","AG214","Guareí"
"aug001",781749.125135305,7407897.0817396,"Aug",2019-08-11 09:50:00,"Frugivory","Pereskia aculeata","AG43","Guareí"
"aug001",781843.185707768,7408017.64059812,"Aug",2019-08-11 10:40:00,"Frugivory","Pereskia aculeata","AG229","Guareí"
"aug001",781768.283530352,7408048.33778939,"Aug",2019-08-11 11:35:00,"Frugivory","Pereskia aculeata","AG228","Guareí"
"aug001",781702.413157045,7408176.9459027,"Aug",2019-08-11 13:35:00,"Frugivory","Pereskia aculeata","AG311","Guareí"
"aug001",781697,7408200,"Aug",2019-08-11 14:10:00,"Frugivory","Pereskia aculeata","AG225","Guareí"
"aug001",781685.996797619,7408217.99983173,"Aug",2019-08-11 15:05:00,"Frugivory",NA,NA,"Guareí"
"aug001",781730.138268437,7408198.35852011,"Aug",2019-08-11 16:05:00,"Frugivory","Syagrus romanzoffiana","AG129","Guareí"
"aug001",781876.599319104,7408149.44911096,"Aug",2019-08-11 16:50:00,"Frugivory","Pereskia aculeata","AG312","Guareí"
"aug001",781879.217717995,7408115.59251964,"Aug",2019-08-11 16:55:00,"Sleeping site",NA,"DG23","Guareí"
"aug002",782052.157422178,7407809.59214354,"Aug",2019-08-12 08:45:00,"Frugivory","Pereskia aculeata","AG314","Guareí"
"aug002",781978.246795492,7407699.50867793,"Aug",2019-08-12 09:20:00,"Frugivory","Pereskia aculeata","AG315","Guareí"
"aug002",781969.105065766,7407697.58422036,"Aug",2019-08-12 09:25:00,"Frugivory","Pereskia aculeata","AG316","Guareí"
"aug002",781956.329991807,7407692.61717627,"Aug",2019-08-12 09:35:00,"Frugivory","Pereskia aculeata","AG317","Guareí"
"aug002",781842.688750496,7407553.69599616,"Aug",2019-08-12 13:15:00,"Frugivory","Pereskia aculeata","AG318","Guareí"
"aug002",781857.755779924,7407549.8680113,"Aug",2019-08-12 13:25:00,"Frugivory","Syagrus romanzoffiana","AG79","Guareí"
"aug002",781965.50246167,7407493.38346377,"Aug",2019-08-12 14:30:00,"Frugivory","Pereskia aculeata","AG289","Guareí"
"aug002",781976.996792549,7407489.99983214,"Aug",2019-08-12 14:50:00,"Frugivory",NA,NA,"Guareí"
"aug002",782027.742789343,7407442.75872552,"Aug",2019-08-12 15:15:00,"Frugivory","Pereskia aculeata","AG171","Guareí"
"aug002",782010.125119894,7407436.22284376,"Aug",2019-08-12 15:30:00,"Frugivory","Pereskia aculeata","AG290","Guareí"
