"id_day","x","y","id_month","datetime","behavior","species","id","group"
"jun001",781969.802383584,7407899.62025156,"Jun",2019-06-10 07:20:00,"Sleeping site",NA,"DG03","Guareí"
"jun001",781987.22891761,7407661.3217217,"Jun",2019-06-10 08:05:00,"Frugivory","Syagrus romanzoffiana","AG169","Guareí"
"jun001",782054.236941635,7407515.40106368,"Jun",2019-06-10 09:20:00,"Frugivory",NA,NA,"Guareí"
"jun001",782041.508694082,7407440.83205447,"Jun",2019-06-10 09:40:00,"Frugivory","Syagrus romanzoffiana","AG170","Guareí"
"jun001",782027.742789343,7407442.75872552,"Jun",2019-06-10 10:15:00,"Frugivory","Pereskia aculeata","AG171","Guareí"
"jun001",782008.034143128,7407417.75586531,"Jun",2019-06-10 10:55:00,"Frugivory","Syagrus romanzoffiana","AG172","Guareí"
"jun001",782002.634818577,7407370.86088333,"Jun",2019-06-10 11:15:00,"Frugivory","Syagrus romanzoffiana","AG114","Guareí"
"jun001",782120.015506155,7407395.76650634,"Jun",2019-06-10 12:05:00,"Frugivory","Syagrus romanzoffiana","AG173","Guareí"
"jun001",782172.243582808,7407431.1174811,"Jun",2019-06-10 13:00:00,"Frugivory","Syagrus romanzoffiana","AG174","Guareí"
"jun001",782049.926532364,7407452.85933004,"Jun",2019-06-10 14:20:00,"Frugivory","Syagrus romanzoffiana","AG175","Guareí"
"jun001",781978.370865523,7407572.60412628,"Jun",2019-06-10 15:00:00,"Frugivory","Syagrus romanzoffiana","AG176","Guareí"
"jun001",781924.176217005,7407616.31132455,"Jun",2019-06-10 15:15:00,"Frugivory","Syagrus romanzoffiana","AG177","Guareí"
"jun001",781970.579031846,7407892.28485961,"Jun",2019-06-10 16:00:00,"Frugivory","Celtis iguanaea","AG152","Guareí"
"jun002",781911.884942546,7407908.82097278,"Jun",2019-06-11 08:10:00,"Frugivory","Celtis iguanaea","AG23","Guareí"
"jun002",781897.188481099,7407900.23037001,"Jun",2019-06-11 08:15:00,"Frugivory","Celtis iguanaea","AG65","Guareí"
"jun002",781863.53556654,7407921.16412519,"Jun",2019-06-11 08:25:00,"Frugivory","Celtis iguanaea","AG77","Guareí"
"jun002",781849.668448401,7407955.89565202,"Jun",2019-06-11 08:50:00,"Frugivory","Celtis iguanaea","AG178","Guareí"
"jun002",781867.59861166,7407946.57507716,"Jun",2019-06-11 09:15:00,"Frugivory","Celtis iguanaea","AG106","Guareí"
"jun002",781870.960161915,7407951.16818202,"Jun",2019-06-11 09:25:00,"Frugivory","Celtis iguanaea","AG179","Guareí"
"jun002",781883.982716122,7407995.47392613,"Jun",2019-06-11 09:40:00,"Frugivory","Celtis iguanaea","AG157","Guareí"
"jun002",781844.554817197,7408137.5395317,"Jun",2019-06-11 12:15:00,"Frugivory","Cissus sulcicaulis","AG180","Guareí"
"jun002",781607.133162984,7408029.81217488,"Jun",2019-06-11 14:05:00,"Frugivory","Pereskia aculeata","AG181","Guareí"
"jun002",781654.258634024,7408124.22646095,"Jun",2019-06-11 15:35:00,"Sleeping site",NA,"DG12","Guareí"
"jun003",781648.578475705,7407939.79379625,"Jun",2019-06-12 08:40:00,"Frugivory","Pereskia aculeata","AG182","Guareí"
"jun003",781635.346600562,7407681.02656035,"Jun",2019-06-12 10:35:00,"Frugivory","Syagrus romanzoffiana","AG183","Guareí"
"jun003",781727.593200004,7407755.29120033,"Jun",2019-06-12 11:25:00,"Frugivory","Syagrus romanzoffiana","AG184","Guareí"
"jun003",781863.472843977,7407902.21363497,"Jun",2019-06-12 12:10:00,"Frugivory","Celtis iguanaea","AG186","Guareí"
"jun003",781866.889971211,7407936.05687977,"Jun",2019-06-12 12:50:00,"Frugivory","Celtis iguanaea","AG187","Guareí"
"jun003",781865.17,7407942.39,"Jun",2019-06-12 12:55:00,"Frugivory","Celtis iguanaea","AG106","Guareí"
"jun003",781806.61485064,7407940.7873388,"Jun",2019-06-12 15:20:00,"Frugivory",NA,NA,"Guareí"
"jun003",781742.728,7407958.388,"Jun",2019-06-12 16:00:00,"Sleeping site",NA,"DG13","Guareí"
"jun004",782008.809786459,7407853.4261967,"Jun",2019-06-14 07:30:00,"Frugivory",NA,"AG194","Guareí"
"jun004",782001.358089366,7407571.38342912,"Jun",2019-06-14 08:25:00,"Frugivory","Syagrus romanzoffiana","AG117","Guareí"
"jun004",781908.25461031,7407516.42301248,"Jun",2019-06-14 10:50:00,"Frugivory","Syagrus romanzoffiana","AG112","Guareí"
"jun004",781870.166921313,7407562.70147271,"Jun",2019-06-14 11:20:00,"Frugivory","Syagrus romanzoffiana","AG195","Guareí"
"jun004",781868.354640111,7407556.70693124,"Jun",2019-06-14 12:10:00,"Frugivory",NA,NA,"Guareí"
"jun004",782070.472502216,7407735.43171206,"Jun",2019-06-14 15:05:00,"Frugivory","Pereskia aculeata","AG196","Guareí"
"jun004",781986.388623409,7407884.22483359,"Jun",2019-06-14 16:15:00,"Frugivory","Celtis iguanaea","AG96","Guareí"
"jun005",781787.696290068,7407742.50980082,"Jun",2019-06-15 07:35:00,"Frugivory","Syagrus romanzoffiana","AG198","Guareí"
"jun005",781802.414165927,7407651.00915968,"Jun",2019-06-15 08:55:00,"Frugivory","Syagrus romanzoffiana","AG200","Guareí"
"jun005",782019.064342611,7407438.15919278,"Jun",2019-06-15 12:45:00,"Frugivory","Pereskia aculeata","AG201","Guareí"
"jun005",782018.584841943,7407423.87097341,"Jun",2019-06-15 13:45:00,"Frugivory","Syagrus romanzoffiana","AG202","Guareí"
"jun005",781889.691698756,7407551.24457875,"Jun",2019-06-15 16:35:00,"Sleeping site",NA,"DG14","Guareí"
"jun006",781891.273735961,7407895.80078269,"Jun",2019-06-17 07:35:00,"Frugivory","Celtis iguanaea","AG203","Guareí"
"jun006",781882.970580149,7407900.06595431,"Jun",2019-06-17 07:45:00,"Frugivory","Celtis iguanaea","AG156","Guareí"
"jun006",781867.167573686,7407897.26562816,"Jun",2019-06-17 08:10:00,"Frugivory","Celtis iguanaea","AG125","Guareí"
"jun006",781860,7407899,"Jun",2019-06-17 08:20:00,"Frugivory","Syagrus romanzoffiana","AG183","Guareí"
"jun006",781715.603470842,7407885.00513295,"Jun",2019-06-17 09:05:00,"Frugivory",NA,NA,"Guareí"
"jun006",781731.311192577,7407937.49054384,"Jun",2019-06-17 09:30:00,"Frugivory",NA,NA,"Guareí"
"jun006",781697.85437225,7408008.12179571,"Jun",2019-06-17 10:00:00,"Frugivory","Pereskia aculeata","AG205","Guareí"
"jun006",781701.995475858,7408021.12293071,"Jun",2019-06-17 10:05:00,"Frugivory","Pereskia aculeata","AG206","Guareí"
"jun006",781719.516206745,7408176.43289329,"Jun",2019-06-17 11:45:00,"Frugivory","Pereskia aculeata",NA,"Guareí"
"jun006",781649.428980394,7408017.40922017,"Jun",2019-06-17 13:45:00,"Frugivory",NA,NA,"Guareí"
"jun006",781638.455726092,7407977.56052712,"Jun",2019-06-17 14:00:00,"Frugivory","Pereskia aculeata","AG208","Guareí"
"jun006",781648.136599287,7407820.32741681,"Jun",2019-06-17 15:50:00,"Sleeping site",NA,"DG15","Guareí"
