"id_day","x","y","id_month","datetime","behavior","species","id","group"
"may001",781969.802383584,7407899.62025156,"May",2019-05-16 07:25:00,"Sleeping site",NA,"DG03","Guareí"
"jun002",781654.258634024,7408124.22646095,"Jun",2019-06-11 15:35:00,"Sleeping site",NA,"DG12","Guareí"
"jun003",781742.728,7407958.388,"Jun",2019-06-12 16:00:00,"Sleeping site",NA,"DG13","Guareí"
"jun005",781889.691698756,7407551.24457875,"Jun",2019-06-15 16:35:00,"Sleeping site",NA,"DG14","Guareí"
"jun006",781648.136599287,7407820.32741681,"Jun",2019-06-17 15:50:00,"Sleeping site",NA,"DG15","Guareí"
"jul001",782228.274484806,7407430.04331466,"Jul",2019-07-11 08:30:00,"Sleeping site",NA,"DG05","Guareí"
"jul002",781924.090884898,7407921.66764434,"Jul",2019-07-12 17:30:50,"Sleeping site",NA,"DG16","Guareí"
"jul003",781868.172636334,7408083.22377762,"Jul",2019-07-13 16:25:00,"Sleeping site",NA,"DG17","Guareí"
"jul004",782134.666461775,7407605.07897942,"Jul",2019-07-16 08:05:00,"Sleeping site",NA,"DG18","Guareí"
"jul004",781987.279444372,7407573.1023663,"Jul",2019-07-16 17:05:00,"Sleeping site",NA,"DG19","Guareí"
"jul005",782073.852350953,7407932.87366572,"Jul",2019-07-17 16:15:00,"Sleeping site",NA,"DG20","Guareí"
"jul008",781773.133855723,7408007.89834254,"Jul",2019-07-20 16:50:00,"Sleeping site",NA,"DG21","Guareí"
"aug001",781724.299442157,7407588.55161796,"Aug",2019-08-11 07:25:00,"Sleeping site",NA,"DG22","Guareí"
"aug001",781879.217717995,7408115.59251964,"Aug",2019-08-11 16:55:00,"Sleeping site",NA,"DG23","Guareí"
"aug003",782024.121889445,7407526.28072634,"Aug",2019-08-13 16:50:00,"Sleeping site",NA,"DG24","Guareí"
"aug005",781766.1344907,7408080.29947572,"Aug",2019-08-15 16:20:00,"Sleeping site",NA,"DG25","Guareí"
"aug006",781885.327058461,7408012.40252124,"Aug",2019-08-19 14:10:00,"Sleeping site",NA,"DG26","Guareí"
