"id_day","x","y","id_month","datetime","behavior","species","id","group"
20,364676.31264669,7540728.99556683,"Apr",2015-04-09 07:10:00,"Sleeping site",NA,"SS004","Santa Maria"
20,364666.38,7540712.71,"Apr",2015-04-09 07:25:00,"Frugivory","inch_pass","AMf218","Santa Maria"
20,364613,7540965.74,"Apr",2015-04-09 08:30:00,"Frugivory",NA,"SMaf102","Santa Maria"
20,364616.51,7541042.66,"Apr",2015-04-09 09:15:00,"Frugivory",NA,"AMf186","Santa Maria"
20,364860.26,7541225.25,"Apr",2015-04-09 10:45:00,"Frugivory","inch_pass","AMf109","Santa Maria"
20,364999.23,7541353.55,"Apr",2015-04-09 11:25:00,"Frugivory","Eugenia aff. ramboi","AMf112","Santa Maria"
20,365129.17,7541324.56,"Apr",2015-04-09 12:45:00,"Frugivory",NA,"AMf075","Santa Maria"
20,365190.73,7541309.36,"Apr",2015-04-09 13:00:00,"Frugivory","Eugenia aff. ramboi","AMf074","Santa Maria"
20,365232.33,7541302.31,"Apr",2015-04-09 13:10:00,"Frugivory","Eugenia aff. ramboi","AMf073","Santa Maria"
20,365251.6,7541303.26,"Apr",2015-04-09 13:15:00,"Frugivory","Eugenia aff. ramboi","AMf119","Santa Maria"
20,365326,7541330,"Apr",2015-04-09 13:35:00,"Frugivory","Eugenia aff. ramboi","AMf122","Santa Maria"
20,365374,7541337,"Apr",2015-04-09 13:40:00,"Frugivory","Eugenia aff. ramboi","AMf028","Santa Maria"
20,365383.94,7541233.87,"Apr",2015-04-09 14:45:00,"Frugivory","Celtis fluminensis","AMf071","Santa Maria"
20,365504.27,7540973.58,"Apr",2015-04-09 16:00:00,"Sleeping site",NA,"SS006","Santa Maria"
22,364723.8,7540972.84,"Apr",2015-04-11 08:05:00,"Frugivory","Celtis fluminensis","AMf163","Santa Maria"
22,364741.57,7540994.96,"Apr",2015-04-11 09:05:00,"Frugivory",NA,"SMAf122","Santa Maria"
22,364767.72,7540996.03,"Apr",2015-04-11 09:30:00,"Frugivory","Celtis fluminensis","AMf188","Santa Maria"
22,364813.28,7540721.63,"Apr",2015-04-11 11:15:00,"Frugivory","inch_pass","AMf167","Santa Maria"
22,364810.17,7540673.91,"Apr",2015-04-11 11:35:00,"Frugivory",NA,"SMaf126","Santa Maria"
22,364858.04,7540695.99,"Apr",2015-04-11 12:55:00,"Frugivory","Eugenia aff. ramboi","AMf171","Santa Maria"
22,364956.97,7540662.86,"Apr",2015-04-11 14:20:00,"Frugivory","Celtis fluminensis","AMf173","Santa Maria"
22,364993.02,7540701.14,"Apr",2015-04-11 14:25:00,"Frugivory","Celtis fluminensis","AMf174","Santa Maria"
22,364953.72,7540780.35,"Apr",2015-04-11 15:10:00,"Frugivory",NA,"SMAf130","Santa Maria"
22,364906.39,7540862.16,"Apr",2015-04-11 15:30:00,"Frugivory","Celtis fluminensis","AMf179","Santa Maria"
22,364814.31,7540838.37,"Apr",2015-04-11 16:10:00,"Frugivory","Celtis fluminensis","AMf238","Santa Maria"
23,364737.95,7540731.65,"Apr",2015-04-12 07:45:00,"Frugivory",NA,"SMaf133","Santa Maria"
23,364651.93,7540904.57,"Apr",2015-04-12 08:20:00,"Frugivory",NA,"AMf182","Santa Maria"
23,364596.64,7540944.83,"Apr",2015-04-12 08:45:00,"Frugivory","inch_pass","AMf185","Santa Maria"
23,364773.9,7541031.74,"Apr",2015-04-12 13:20:00,"Frugivory","inch_pass","AMf187","Santa Maria"
23,364822.61,7540882.8,"Apr",2015-04-12 14:55:00,"Frugivory","inch_pass","AMf162","Santa Maria"
23,364748.05,7540898.09,"Apr",2015-04-12 16:45:00,"Frugivory","Celtis fluminensis","AMf189","Santa Maria"
25,364734.73,7540700.02,"Apr",2015-04-15 08:05:00,"Frugivory","inch_pass","AMf219","Santa Maria"
25,364743.39,7540687.58,"Apr",2015-04-15 08:45:00,"Frugivory","inch_pass","AMf220","Santa Maria"
25,364784.35,7540647.08,"Apr",2015-04-15 09:25:00,"Frugivory","inch_pass","AMf221","Santa Maria"
25,364785.38,7540587.41,"Apr",2015-04-15 10:15:00,"Frugivory","Celtis fluminensis","AMf222","Santa Maria"
25,364800.45,7540561.52,"Apr",2015-04-15 10:25:00,"Frugivory","Celtis fluminensis","AMf223","Santa Maria"
25,364965.19,7540618.64,"Apr",2015-04-15 11:05:00,"Frugivory","Eugenia aff. ramboi","AMf225","Santa Maria"
25,365044.42,7540682.11,"Apr",2015-04-15 12:20:00,"Frugivory","Eugenia aff. ramboi","AMf227","Santa Maria"
25,365051.74,7540705.64,"Apr",2015-04-15 12:30:00,"Frugivory","Celtis fluminensis","AMf228","Santa Maria"
25,365172.34,7540849.84,"Apr",2015-04-15 13:10:00,"Frugivory","Celtis fluminensis","AMf043","Santa Maria"
25,365099.65,7541030.68,"Apr",2015-04-15 14:15:00,"Frugivory","Celtis fluminensis","AMf230","Santa Maria"
25,365081.03,7541037.61,"Apr",2015-04-15 14:35:00,"Frugivory","Eugenia aff. ramboi","AMf232","Santa Maria"
25,365051.94,7541087.84,"Apr",2015-04-15 14:55:00,"Frugivory","Eugenia aff. ramboi","AMf233","Santa Maria"
25,365002.26,7541111.33,"Apr",2015-04-15 15:10:00,"Frugivory","Celtis fluminensis","AMf236","Santa Maria"
25,364764.01,7540781.09,"Apr",2015-04-15 16:35:00,"Frugivory","Celtis fluminensis","Amf217","Santa Maria"
