"id_day","x","y","id_month","datetime","behavior","species","id","group"
7,365243.27,7541030.18,"Mar",2015-03-15 07:05:00,"Sleeping site",NA,"SS005","Santa Maria"
7,365027.59,7540980.25,"Mar",2015-03-15 08:35:00,"Frugivory",NA,"SMaf001","Santa Maria"
7,365004.41,7540953.48,"Mar",2015-03-15 08:55:00,"Frugivory",NA,"SMaf002","Santa Maria"
7,365255.67,7540748.47,"Mar",2015-03-15 11:55:00,"Frugivory","Myrcia splendens","AMf007","Santa Maria"
7,365504.27,7540973.58,"Mar",2015-03-15 15:25:00,"Sleeping site",NA,"SS006","Santa Maria"
10,365201.41,7540932.46,"Mar",2015-03-18 07:10:00,"Frugivory","inch_pass","AMf100","Santa Maria"
10,365330.27,7540719.14,"Mar",2015-03-18 08:50:00,"Frugivory",NA,"SMaf009","Santa Maria"
10,365363.34,7540659.6,"Mar",2015-03-18 09:10:00,"Frugivory",NA,"SMaf010","Santa Maria"
10,365435.02,7540782.4,"Mar",2015-03-18 10:15:00,"Frugivory",NA,"SMaf011","Santa Maria"
10,365540.26,7540898.86,"Mar",2015-03-18 11:00:00,"Frugivory","Celtis fluminensis","AMf132","Santa Maria"
10,365669.7,7540982.73,"Mar",2015-03-18 12:05:00,"Frugivory",NA,"SMaf017","Santa Maria"
10,365664.51,7540996.78,"Mar",2015-03-18 12:20:00,"Frugivory",NA,"SMaf018","Santa Maria"
10,365566.59,7541108.57,"Mar",2015-03-18 13:15:00,"Frugivory",NA,"SMaf019","Santa Maria"
10,365450,7541162,"Mar",2015-03-18 13:35:00,"Frugivory","Celtis fluminensis","AMf030","Santa Maria"
10,365389.21,7541179.13,"Mar",2015-03-18 14:20:00,"Frugivory",NA,"SMaf022","Santa Maria"
10,365340.99,7541138.27,"Mar",2015-03-18 14:40:00,"Frugivory",NA,"SMaf023","Santa Maria"
10,365245.54,7541179.37,"Mar",2015-03-18 15:10:00,"Frugivory",NA,"SMaf024","Santa Maria"
10,365233.43,7541174,"Mar",2015-03-18 15:15:00,"Frugivory",NA,"SMaf025","Santa Maria"
10,365164,7541202,"Mar",2015-03-18 15:30:00,"Frugivory","Celtis fluminensis","AMf022","Santa Maria"
10,365002.26,7541111.33,"Mar",2015-03-18 15:55:00,"Frugivory","Celtis fluminensis","AMf236","Santa Maria"
10,364746.51,7541015.09,"Mar",2015-03-18 16:50:00,"Frugivory",NA,"SMaf030","Santa Maria"
10,364764.01,7540781.09,"Mar",2015-03-18 17:30:00,"Frugivory","Celtis fluminensis","Amf217","Santa Maria"
10,364884.71,7540741.07,"Mar",2015-03-18 17:45:00,"Sleeping site",NA,"SS007","Santa Maria"
12,365215.940352147,7540754.4008616,"Mar",2015-03-20 06:45:00,"Sleeping site",NA,"SS008","Santa Maria"
12,365214.03,7540772.59,"Mar",2015-03-20 07:00:00,"Frugivory",NA,"AMf017","Santa Maria"
12,365299.09,7540743.67,"Mar",2015-03-20 08:05:00,"Frugivory",NA,"SMaf035","Santa Maria"
13,365307.84,7540650.24,"Mar",2015-03-21 13:45:00,"Frugivory",NA,"SMaf042","Santa Maria"
14,365080.497093753,7540655.4983407,"Mar",2015-03-29 07:05:00,"Sleeping site",NA,"SS009","Santa Maria"
14,365019,7540710,"Mar",2015-03-29 07:35:00,"Frugivory","Phoradendron quadrangulare","AMf018","Santa Maria"
14,364970,7540628,"Mar",2015-03-29 08:05:00,"Frugivory","Phoradendron quadrangulare","AMf019","Santa Maria"
14,364905,7540696,"Mar",2015-03-29 08:40:00,"Frugivory","Phoradendron quadrangulare","AMf020","Santa Maria"
14,364923.47,7540807.43,"Mar",2015-03-29 09:10:00,"Frugivory","Phoradendron quadrangulare","AMf021","Santa Maria"
14,365087.38,7541125.79,"Mar",2015-03-29 10:00:00,"Frugivory","Celtis fluminensis","AMf158","Santa Maria"
14,365151.84,7541159.73,"Mar",2015-03-29 10:10:00,"Frugivory","Celtis fluminensis","SMaf052","Santa Maria"
14,365235.18,7541219.58,"Mar",2015-03-29 10:40:00,"Frugivory",NA,"SMaf053","Santa Maria"
14,365256.64,7541245.08,"Mar",2015-03-29 10:45:00,"Frugivory",NA,"SMaf054","Santa Maria"
14,365287.61,7541308.82,"Mar",2015-03-29 11:00:00,"Frugivory","Eugenia aff. ramboi","SMaf055","Santa Maria"
14,365307,7541381,"Mar",2015-03-29 11:10:00,"Frugivory","Eugenia aff. ramboi","AMf025","Santa Maria"
14,365374,7541337,"Mar",2015-03-29 11:30:00,"Frugivory","Eugenia aff. ramboi","AMf028","Santa Maria"
14,365456,7541220,"Mar",2015-03-29 12:20:00,"Frugivory","Eugenia aff. ramboi","AMf029","Santa Maria"
14,365510,7541161,"Mar",2015-03-29 13:05:00,"Frugivory","Eugenia aff. ramboi","AMf031","Santa Maria"
14,365387.58,7540712.15,"Mar",2015-03-29 15:25:00,"Frugivory",NA,"SMaf065","Santa Maria"
14,365296,7540672,"Mar",2015-03-29 16:05:00,"Frugivory","Celtis fluminensis","AMf032","Santa Maria"
14,365227.45,7540709.54,"Mar",2015-03-29 16:20:00,"Frugivory",NA,"SMaf068","Santa Maria"
14,365155,7540699,"Mar",2015-03-29 16:40:00,"Frugivory","Celtis fluminensis","AMf033","Santa Maria"
16,365123.09,7540679.8,"Mar",2015-03-31 07:25:00,"Frugivory","inch_pass","AMf037","Santa Maria"
16,365180.84,7540677.3,"Mar",2015-03-31 07:55:00,"Frugivory",NA,"AMf038","Santa Maria"
16,365203.42,7540676.95,"Mar",2015-03-31 08:10:00,"Frugivory",NA,"AMf039","Santa Maria"
16,365191.48,7540721.9,"Mar",2015-03-31 08:30:00,"Frugivory",NA,"AMf040","Santa Maria"
16,365185.35,7540755.84,"Mar",2015-03-31 08:45:00,"Frugivory",NA,"SMaf077","Santa Maria"
16,365185.52,7540809.42,"Mar",2015-03-31 08:55:00,"Frugivory",NA,"SMaf078","Santa Maria"
16,365172.34,7540849.84,"Mar",2015-03-31 09:00:00,"Frugivory","Celtis fluminensis","AMf043","Santa Maria"
16,365146.67,7540944.95,"Mar",2015-03-31 09:30:00,"Frugivory",NA,"AMf044","Santa Maria"
16,365588.03,7541129.51,"Mar",2015-03-31 11:45:00,"Frugivory",NA,"SMaf084","Santa Maria"
16,365613.71,7541114.05,"Mar",2015-03-31 11:50:00,"Frugivory","Eugenia aff. ramboi","AMf051","Santa Maria"
16,365641,7541103,"Mar",2015-03-31 12:10:00,"Frugivory","Eugenia aff. ramboi","AMf138","Santa Maria"
16,365640.05,7541084.17,"Mar",2015-03-31 12:15:00,"Frugivory","Eugenia aff. ramboi","AMf199","Santa Maria"
16,365682.94,7541107.23,"Mar",2015-03-31 12:35:00,"Frugivory",NA,"AMf052","Santa Maria"
16,365720.85,7541097.82,"Mar",2015-03-31 12:55:00,"Frugivory",NA,"AMf053","Santa Maria"
16,365699.83,7541049.03,"Mar",2015-03-31 13:10:00,"Frugivory","Eugenia aff. ramboi","AMf054","Santa Maria"
16,365637.64,7540980.19,"Mar",2015-03-31 14:15:00,"Frugivory","Eugenia aff. ramboi","AMf057","Santa Maria"
