"id_day","x","y","id_month","datetime","behavior","species","id","group"
29,364870.76,7540864.35,"May",2015-05-06 07:10:00,"Sleeping site",NA,"SS012","Santa Maria"
29,364880.77,7540830.69,"May",2015-05-06 07:20:00,"Frugivory",NA,"SMaf175","Santa Maria"
29,364859.15,7540785.03,"May",2015-05-06 07:30:00,"Frugivory",NA,"SMaf177","Santa Maria"
29,364851.36,7540729.77,"May",2015-05-06 07:45:00,"Frugivory",NA,"SMaf179","Santa Maria"
29,364858.04,7540695.99,"May",2015-05-06 07:55:00,"Frugivory","Eugenia aff. ramboi","AMf171","Santa Maria"
29,364905,7540696,"May",2015-05-06 08:10:00,"Frugivory","Phoradendron quadrangulare","AMf020","Santa Maria"
29,364993.02,7540701.14,"May",2015-05-06 09:00:00,"Frugivory","Celtis fluminensis","AMf174","Santa Maria"
29,365051.74,7540705.64,"May",2015-05-06 09:10:00,"Frugivory","Celtis fluminensis","AMf228","Santa Maria"
29,365255.67,7540748.47,"May",2015-05-06 09:40:00,"Frugivory","Myrcia splendens","AMf007","Santa Maria"
29,365314.96,7540768.83,"May",2015-05-06 10:00:00,"Frugivory",NA,"SMaf188","Santa Maria"
29,365353.98,7540767.01,"May",2015-05-06 10:05:00,"Frugivory",NA,"SMaf190","Santa Maria"
29,365454.68,7541015.37,"May",2015-05-06 10:35:00,"Frugivory",NA,"AMf205","Santa Maria"
29,365496.75,7541097,"May",2015-05-06 10:50:00,"Frugivory","Celtis fluminensis","AMf089","Santa Maria"
29,365499.61,7541213.97,"May",2015-05-06 11:20:00,"Frugivory",NA,"SMaf194","Santa Maria"
29,365487.32,7541280.67,"May",2015-05-06 11:35:00,"Frugivory",NA,"SMaf195","Santa Maria"
29,365498.54,7541333.43,"May",2015-05-06 11:50:00,"Frugivory",NA,"SMaf196","Santa Maria"
29,365486.81,7541365.18,"May",2015-05-06 12:00:00,"Frugivory","Eugenia aff. ramboi","AMf146","Santa Maria"
29,365477.64,7541389.35,"May",2015-05-06 12:10:00,"Frugivory","Eugenia aff. ramboi","AMf147","Santa Maria"
29,365477.94,7541422.09,"May",2015-05-06 12:15:00,"Frugivory",NA,"SMaf199","Santa Maria"
29,365433.9,7541471.44,"May",2015-05-06 13:55:00,"Frugivory",NA,"SMaf200","Santa Maria"
29,365415.21,7541478.38,"May",2015-05-06 14:00:00,"Frugivory",NA,"SMaf201","Santa Maria"
29,365410.97,7541501.13,"May",2015-05-06 14:05:00,"Frugivory",NA,"SMaf202","Santa Maria"
29,365392.3,7541525.05,"May",2015-05-06 14:25:00,"Frugivory",NA,"SMaf203","Santa Maria"
29,365377.55,7541509.77,"May",2015-05-06 14:30:00,"Frugivory",NA,"SMaf205","Santa Maria"
29,365340.38,7541459.27,"May",2015-05-06 14:55:00,"Frugivory",NA,"SMaf206","Santa Maria"
29,365233.08,7541367.59,"May",2015-05-06 15:25:00,"Frugivory",NA,"SMaf208","Santa Maria"
29,365229.76,7541348.55,"May",2015-05-06 15:30:00,"Frugivory",NA,"SMaf209","Santa Maria"
29,365211.04,7541293.28,"May",2015-05-06 15:40:00,"Frugivory","Eugenia aff. ramboi","SMaf210","Santa Maria"
29,365112.21,7541295.89,"May",2015-05-06 15:50:00,"Frugivory",NA,"SMaf211","Santa Maria"
29,365045.83,7541275.34,"May",2015-05-06 16:05:00,"Sleeping site",NA,"SS013","Santa Maria"
