"id_day","x","y","id_month","datetime","behavior","species","id","group"
"016",706001.458603343,7481495.19427921,"Apr",2019-04-06 08:00:00,"Sleeping site","Unknown","SS05","Suzano"
"016",705975.352637184,7481496.25553271,"Apr",2019-04-06 08:15:00,"Frugivory","Syagrus romanzoffiana","115.0","Suzano"
"016",705874.010495797,7481420.15740547,"Apr",2019-04-06 08:55:00,"Frugivory","Syagrus romanzoffiana","116.0","Suzano"
"016",705622.343753477,7481368.3977168,"Apr",2019-04-06 11:35:00,"Frugivory","Annona emarginata","117.0","Suzano"
"016",705804.120380373,7481349.29721365,"Apr",2019-04-06 13:40:00,"Frugivory","Syagrus romanzoffiana","118.0","Suzano"
"016",705899.883119617,7481384.23059989,"Apr",2019-04-06 14:30:00,"Frugivory","Tapirira guianensis","119.0","Suzano"
"016",705985.106392812,7481447.30638073,"Apr",2019-04-06 16:05:00,"Frugivory","Ficus guaranitica","120.0","Suzano"
"016",706057.333912989,7481411.36336816,"Apr",2019-04-06 16:50:00,"Sleeping site","Unknown","SS07","Suzano"
"019",706054.727485087,7481454.14158413,"Apr",2019-04-12 08:20:00,"Frugivory","Syagrus romanzoffiana","130.0","Suzano"
"019",705906.897389861,7481422.33188414,"Apr",2019-04-12 09:20:00,"Frugivory","Ficus guaranitica","131.0","Suzano"
"019",705816.830748932,7481429.46894944,"Apr",2019-04-12 10:15:00,"Frugivory","Syagrus romanzoffiana","132.0","Suzano"
"019",705618.433609142,7481330.38788677,"Apr",2019-04-12 11:35:00,"Frugivory","Syagrus romanzoffiana","133.0","Suzano"
"019",705713.489247615,7481248.4204482,"Apr",2019-04-12 13:30:00,"Frugivory","Syagrus romanzoffiana","f40_f","Suzano"
"019",705586.1650118,7481198.27846073,"Apr",2019-04-12 15:10:00,"Frugivory","Pereskia aculeata","134.0","Suzano"
"019",705694.703835688,7481182.45171759,"Apr",2019-04-12 16:50:00,"Sleeping site","Unknown","SS09","Suzano"
