"id_day","x","y","id_month","datetime","behavior","species","id","group"
"005",706018.359681312,7481476.46750614,"Dec",2018-12-06 07:00:00,"Sleeping site","Unknown","SS04","Suzano"
"005",705994.004697127,7481490.12717565,"Dec",2018-12-06 07:25:00,"Frugivory","Trichilia catigua","38.0","Suzano"
"005",705987.733415948,7481494.12929206,"Dec",2018-12-06 07:40:00,"Frugivory","Syagrus romanzoffiana","39.0","Suzano"
"005",705934.160080558,7481468.04178784,"Dec",2018-12-06 09:35:00,"Frugivory","Xylopia brasiliensis","40.0","Suzano"
"005",705939.01229419,7481465.42424766,"Dec",2018-12-06 09:50:00,"Frugivory","Trichilia catigua","41.0","Suzano"
"005",705913.838560514,7481407.10222712,"Dec",2018-12-06 10:40:00,"Frugivory","Syagrus romanzoffiana","42.0","Suzano"
"005",705841.627304516,7481382.01036401,"Dec",2018-12-06 12:15:00,"Frugivory","Pera glabrata","44.0","Suzano"
"005",705909.684475344,7481380.45979009,"Dec",2018-12-06 13:50:00,"Frugivory","Syagrus romanzoffiana","46.0","Suzano"
"005",705938.01313934,7481374.62749197,"Dec",2018-12-06 15:15:00,"Frugivory","Xylopia brasiliensis","47.0","Suzano"
"005",705988.595689822,7481350.05265841,"Dec",2018-12-06 15:50:00,"Frugivory","Syagrus romanzoffiana","48.0","Suzano"
"005",706019.226529725,7481346.10763687,"Dec",2018-12-06 17:05:00,"Frugivory","Xylopia brasiliensis","49.0","Suzano"
"005",706044.139530126,7481279.17846297,"Dec",2018-12-06 17:50:00,"Sleeping site","Unknown","SS01","Suzano"
"006",706027.598070167,7481257.47615112,"Dec",2018-12-07 07:50:00,"Frugivory","Syagrus romanzoffiana","f10_f","Suzano"
"006",705966.552704349,7481298.27268434,"Dec",2018-12-07 09:15:00,"Frugivory","Trichilia catigua","50.0","Suzano"
"006",706031.628844548,7481360.32849772,"Dec",2018-12-07 09:55:00,"Frugivory","Xylopia brasiliensis","51.0","Suzano"
"006",706037.094562641,7481360.46188579,"Dec",2018-12-07 10:10:00,"Frugivory","Xylopia brasiliensis","f11_f","Suzano"
"006",705912.90361416,7481431.69982332,"Dec",2018-12-07 12:30:00,"Frugivory","Syagrus romanzoffiana","52.0","Suzano"
"006",705938.334224605,7481495.49425754,"Dec",2018-12-07 13:00:00,"Frugivory","Syagrus romanzoffiana","53.0","Suzano"
"006",706010.451211304,7481447.21813765,"Dec",2018-12-07 15:35:00,"Frugivory","Casearia sylvestris","54.0","Suzano"
"006",706033.221438909,7481455.72568852,"Dec",2018-12-07 16:00:00,"Frugivory","Casearia sylvestris","55.0","Suzano"
"006",706001.458603343,7481495.19427921,"Dec",2018-12-07 17:45:00,"Sleeping site","Unknown","SS05","Suzano"
"007",705948.16776027,7481539.0932568,"Dec",2018-12-08 08:30:00,"Frugivory","Syagrus romanzoffiana","56.0","Suzano"
"007",705955.896619288,7481530.2628096,"Dec",2018-12-08 08:50:00,"Frugivory","Syagrus romanzoffiana","57.0","Suzano"
"007",705828.815686648,7481433.06203378,"Dec",2018-12-08 11:35:00,"Frugivory","Syagrus romanzoffiana","f12_f","Suzano"
"007",705846.810206896,7481410.68372923,"Dec",2018-12-08 13:05:00,"Frugivory","Xylopia brasiliensis","58.0","Suzano"
"007",705976.370395048,7481376.39079696,"Dec",2018-12-08 14:00:00,"Frugivory","Plinia trunciflora","60.0","Suzano"
"007",705981.090963909,7481373.74395337,"Dec",2018-12-08 14:15:00,"Frugivory","Plinia trunciflora","61.0","Suzano"
"007",706045.06515108,7481317.70366714,"Dec",2018-12-08 16:20:00,"Frugivory","Syagrus romanzoffiana","62.0","Suzano"
"007",706058.503849112,7481319.18583155,"Dec",2018-12-08 16:25:00,"Frugivory","Syagrus romanzoffiana","63.0","Suzano"
"007",706061.638640937,7481248.03556027,"Dec",2018-12-08 17:00:00,"Frugivory","Syagrus romanzoffiana","64.0","Suzano"
"007",706066.376653521,7481247.16799299,"Dec",2018-12-08 17:15:00,"Frugivory","Syagrus romanzoffiana","f13_f","Suzano"
"007",706029.363765906,7481242.49414321,"Dec",2018-12-08 17:50:00,"Sleeping site","Unknown","SS02","Suzano"
"008",705980.346089841,7481263.20964669,"Dec",2018-12-09 08:00:00,"Frugivory","Plinia trunciflora","65.0","Suzano"
"008",705971.858740671,7481265.18066677,"Dec",2018-12-09 08:15:00,"Frugivory","Plinia trunciflora","66.0","Suzano"
"008",705955.81153498,7481403.29737911,"Dec",2018-12-09 10:35:00,"Frugivory","Trichilia catigua","67.0","Suzano"
"008",705951.788892092,7481401.0931879,"Dec",2018-12-09 10:50:00,"Frugivory","Syagrus romanzoffiana","f14_f","Suzano"
"008",705967.010539275,7481558.53361164,"Dec",2018-12-09 14:20:00,"Frugivory","Abuta selloana","68.0","Suzano"
