"id_day","x","y","id_month","datetime","behavior","species","id","group"
"002",371362.521051776,7499514.75751989,"Dec_2017",2017-12-03 07:10:00,"Sleeping site","Unknown","SS01","Taquara"
"002",371895.193097801,7500355.77718525,"Dec_2017",2017-12-03 20:30:00,"Sleeping site","Unknown","SS02","Taquara"
"003",371788.535217618,7500133.44408993,"Jan",2018-01-27 19:00:00,"Sleeping site","Unknown","SS03","Taquara"
"004",372402.671041875,7500113.96656756,"Jan",2018-01-28 18:35:00,"Sleeping site","Unknown","SS04","Taquara"
"007",371251.754391174,7500122.7912911,"Jan",2018-01-31 19:25:00,"Sleeping site","Unknown","SS05","Taquara"
"010",371139.009084429,7499946.53588452,"Jan",2018-02-03 06:40:00,"Sleeping site","Unknown","SS06","Taquara"
"010",372002.257149693,7499846.12768788,"Jan",2018-02-03 18:45:00,"Sleeping site","Unknown","SS07","Taquara"
"016",372080.89472462,7499662.2500273,"May",2018-05-02 18:15:00,"Sleeping site","Unknown","SS10","Taquara"
"020",371463.052512143,7500465.95478462,"Jul",2018-07-04 08:50:00,"Sleeping site","Unknown","SS11","Taquara"
"020",371618.180075411,7500356.53462714,"Jul",2018-07-04 18:50:00,"Sleeping site","Unknown","SS09","Taquara"
"024",371320.689683032,7499735.84775194,"Sep",2018-09-18 08:10:00,"Sleeping site","Unknown","SS12","Taquara"
"024",372080.767868734,7499659.46766954,"Sep",2018-09-18 16:25:00,"Sleeping site","Unknown","SS10","Taquara"
